number,short_description,description,assignment_group,assigned_to,state,parent,configuration_item,impact,urgency,priority,category,subcategory,close_notes,resolved_by,work_notes,comments_and_work_notes,opened_by,created,resolve_time,closed,caller,requestor_email,close_code,business_impact_level,resolution_category,technical_keywords,user_department,user_role,business_domain,incident_complexity,escalation_level,user_persona,ai_confidence_score,generation_timestamp,model_version
INC3936798,User reported phishing email leading to database access issues,"Jane Doe, a user in the marketing department, reported receiving a suspicious email that appeared to be from IT support, requesting her login credentials for the Database Cluster. After responding to the email, she experienced difficulties accessing the database, leading to a halt in her team's project updates. The incident raised concerns about potential data breaches and unauthorized access.",Network Operations,Ahmed Ali,Closed,,Database Cluster,3 - Low,2 - Medium,3 - Moderate,Security,Incidents,User training provided to prevent recurrence,Ahmed Ali,"[2025-05-13 16:11:08] Ahmed Ali: Coordinated with network team for firewall rule update.

[2025-05-13 19:56:08] Ahmed Ali: User confirmed resolution and no further issues.

[2025-05-13 22:46:08] Ahmed Ali: User confirmed resolution and no further issues.

[2025-05-13 21:48:08] Ahmed Ali: Provided user with workaround pending permanent fix.

[2025-05-13 22:29:08] Ahmed Ali: User reported issue resolved after cache clear.","[2025-05-13 16:11:08] Ahmed Ali: Coordinated with network team for firewall rule update.

[2025-05-13 19:56:08] Ahmed Ali: User confirmed resolution and no further issues.

[2025-05-13 22:46:08] Ahmed Ali: User confirmed resolution and no further issues.

[2025-05-13 21:48:08] Ahmed Ali: Provided user with workaround pending permanent fix.

[2025-05-13 22:29:08] Ahmed Ali: User reported issue resolved after cache clear.",Jane Doe,2025-05-13T16:04:08.247000,2025-05-15T15:49:26.461535,2025-05-15T17:31:26.461535,Jane Doe,jane.doe@abstergoindustries.com,Closed/Resolved,Medium,User Error,"phishing, database access, security protocols, credential compromise",IT,Operations Specialist,Manufacturing,Medium,Level 1,Business,0.8979768227767565,2025-05-30T16:04:08.248001,gpt-4o-mini
INC5554060,Intermittent email delivery failures reported by user.,"Michael Brown from the marketing team reported that he was experiencing intermittent email delivery failures when sending messages to external clients. The issue began around 10 AM and persisted throughout the day. Users affected were unable to communicate with clients, which impacted ongoing marketing campaigns and client follow-ups. The email gateway logs indicated sporadic connectivity issues during peak usage times.",Service Desk,Maria Garcia,Closed,,Email Gateway,3 - Low,2 - Medium,3 - Moderate,Database,Availability,Root cause identified as misconfigured DNS entry,Maria Garcia,"[2025-05-10 16:06:11] Maria Garcia: User reported issue resolved after cache clear.

[2025-05-10 20:48:11] Maria Garcia: User confirmed resolution and no further issues.

[2025-05-11 00:55:11] Maria Garcia: User confirmed resolution and no further issues.

[2025-05-11 00:28:11] Maria Garcia: User confirmed resolution and no further issues.","[2025-05-10 16:06:11] Maria Garcia: User reported issue resolved after cache clear.

[2025-05-10 20:48:11] Maria Garcia: User confirmed resolution and no further issues.

[2025-05-11 00:55:11] Maria Garcia: User confirmed resolution and no further issues.

[2025-05-11 00:28:11] Maria Garcia: User confirmed resolution and no further issues.",Michael Brown,2025-05-10T16:04:11.090627,2025-05-12T09:57:43.642674,2025-05-12T11:06:43.642674,Michael Brown,michael.brown@abstergoindustries.com,Closed/Resolved,Medium,Configuration,"Email Gateway, delivery failure, connection timeout, bandwidth, network",IT,Account Manager,Financial Services,Medium,Level 1,Business,0.9108704553139929,2025-05-30T16:04:11.090627,gpt-4o-mini
INC7400450,Intermittent VPN connectivity issues reported by user,"Michael Brown from the IT department reported intermittent connectivity issues with the VPN appliance. The problem began around 10 AM and persisted for several hours, causing disruptions in accessing critical internal resources needed for ongoing projects. Multiple team members reported similar issues, which affected their ability to collaborate effectively and meet deadlines.",Network Operations,Sarah Johnson,Closed,,VPN Appliance,2 - Medium,2 - Medium,2 - High,Hardware,Network Equipment,User training provided to prevent recurrence,Sarah Johnson,"[2025-05-24 16:09:17] Sarah Johnson: Rebooted affected server and confirmed service restoration.

[2025-05-24 18:58:17] Sarah Johnson: Provided user with workaround pending permanent fix.

[2025-05-25 01:01:17] Sarah Johnson: User confirmed resolution and no further issues.

[2025-05-25 02:44:17] Sarah Johnson: User confirmed resolution and no further issues.

[2025-05-24 23:54:17] Sarah Johnson: User reported issue resolved after cache clear.","[2025-05-24 16:09:17] Sarah Johnson: Rebooted affected server and confirmed service restoration.

[2025-05-24 18:58:17] Sarah Johnson: Provided user with workaround pending permanent fix.

[2025-05-25 01:01:17] Sarah Johnson: User confirmed resolution and no further issues.

[2025-05-25 02:44:17] Sarah Johnson: User confirmed resolution and no further issues.

[2025-05-24 23:54:17] Sarah Johnson: User reported issue resolved after cache clear.",Michael Brown,2025-05-24T16:04:17.602772,2025-05-25T13:54:05.121716,2025-05-25T15:51:05.121716,Michael Brown,michael.brown@abstergoindustries.com,Closed/Cancelled,High,Hardware,"VPN, connectivity, network cable, appliance, disconnections",Customer Service,VP Product,Retail,Medium,Level 2,Executive,0.9109220865111223,2025-05-30T16:04:17.602772,gpt-4o-mini
INC4436045,User experienced VPN connectivity issues leading to policy violation.,"Hans Havlik from the IT department reported that he was unable to connect to the corporate VPN for remote work. The issue arose after he attempted to access the VPN for a critical network update. Due to the inability to connect, Hans could not implement necessary changes, which hindered the IT team's ability to maintain network security and operations, potentially leading to a policy violation regarding remote access protocols.",Network Operations,Maya Patel,Closed,,VPN Appliance,3 - Low,2 - Medium,3 - Moderate,Security,Incidents,Root cause identified as misconfigured DNS entry,Maya Patel,"[2025-05-16 16:09:20] Maya Patel: User reported issue resolved after cache clear.

[2025-05-16 17:06:20] Maya Patel: Coordinated with network team for firewall rule update.

[2025-05-17 00:07:20] Maya Patel: User confirmed resolution and no further issues.

[2025-05-17 01:32:20] Maya Patel: Coordinated with network team for firewall rule update.","[2025-05-16 16:09:20] Maya Patel: User reported issue resolved after cache clear.

[2025-05-16 17:06:20] Maya Patel: Coordinated with network team for firewall rule update.

[2025-05-17 00:07:20] Maya Patel: User confirmed resolution and no further issues.

[2025-05-17 01:32:20] Maya Patel: Coordinated with network team for firewall rule update.",Hans Havlik,2025-05-16T16:04:20.560375,2025-05-18T21:51:29.846689,2025-05-18T22:51:29.846689,Hans Havlik,hans.havlik@abstergoindustries.com,Closed/Cancelled,Medium,Process,"VPN, policy violation, connection issue",Quantitative Analysis,CFO,Financial Services,Medium,Level 1,Executive,0.8899374176646135,2025-05-30T16:04:20.560585,gpt-4o-mini
INC4261433,User reports poor print quality from CRM system.,"Michael Brown from the sales department reported experiencing poor print quality when generating reports from the CRM system. The issue began after a recent update to the CRM software. Multiple documents printed with faded text and inconsistent margins, which hindered the team's ability to present professional materials to clients, impacting sales presentations and customer relationships.",Service Desk,David Park,Closed,,CRM,1 - High,1 - High,1 - Critical,Hardware,Printer,No fault found after extensive diagnostics; monitoring ongoing,David Park,"[2025-05-03 16:10:23] David Park: User reported issue resolved after cache clear.

[2025-05-03 18:04:23] David Park: Coordinated with network team for firewall rule update.

[2025-05-03 19:07:23] David Park: Provided user with workaround pending permanent fix.

[2025-05-03 19:48:23] David Park: Provided user with workaround pending permanent fix.","[2025-05-03 16:10:23] David Park: User reported issue resolved after cache clear.

[2025-05-03 18:04:23] David Park: Coordinated with network team for firewall rule update.

[2025-05-03 19:07:23] David Park: Provided user with workaround pending permanent fix.

[2025-05-03 19:48:23] David Park: Provided user with workaround pending permanent fix.",Michael Brown,2025-05-03T16:04:23.328532,2025-05-03T17:28:24.173001,2025-05-03T18:43:24.173001,Michael Brown,michael.brown@abstergoindustries.com,Closed/No Fault Found,Critical,Software,"CRM, print quality, software update, bug fix",Administration,Office Manager,Healthcare,Medium,Level 2,Administrative,0.9132280192908955,2025-05-30T16:04:23.328532,gpt-4o-mini
INC3580895,Database cluster experiencing latency issues affecting application performance,"Jane Doe reported experiencing significant latency when accessing applications reliant on the database cluster. The issue began during peak business hours, leading to slow response times which impacted several teams' productivity. Users reported delays in retrieving data, which caused interruptions in workflow and affected service delivery to clients.",IT Support,David Kim,Closed,,Database Cluster,3 - Low,2 - Medium,3 - Moderate,Network,Performance,User training provided to prevent recurrence,David Kim,"[2025-05-17 16:08:26] David Kim: Provided user with workaround pending permanent fix.

[2025-05-17 16:44:26] David Kim: Coordinated with network team for firewall rule update.

[2025-05-17 18:43:26] David Kim: Provided user with workaround pending permanent fix.

[2025-05-17 18:52:26] David Kim: User reported issue resolved after cache clear.

[2025-05-17 19:49:26] David Kim: Provided user with workaround pending permanent fix.

[2025-05-17 18:40:26] David Kim: User confirmed resolution and no further issues.

[2025-05-18 04:12:26] David Kim: Provided user with workaround pending permanent fix.","[2025-05-17 16:08:26] David Kim: Provided user with workaround pending permanent fix.

[2025-05-17 16:44:26] David Kim: Coordinated with network team for firewall rule update.

[2025-05-17 18:43:26] David Kim: Provided user with workaround pending permanent fix.

[2025-05-17 18:52:26] David Kim: User reported issue resolved after cache clear.

[2025-05-17 19:49:26] David Kim: Provided user with workaround pending permanent fix.

[2025-05-17 18:40:26] David Kim: User confirmed resolution and no further issues.

[2025-05-18 04:12:26] David Kim: Provided user with workaround pending permanent fix.",Jane Doe,2025-05-17T16:04:26.182480,2025-05-18T11:41:37.792092,2025-05-18T13:28:37.792092,Jane Doe,jane.doe@abstergoindustries.com,Closed/No Fault Found,Medium,Process,"database, latency, CPU usage, performance, cache",Sales,Operations Manager,Retail,Medium,Level 1,Manager,0.929902002626505,2025-05-30T16:04:26.183481,gpt-4o-mini
INC1893730,User unable to connect to AMO application due to proxy configuration error,"Jane Doe, a user from the marketing department, reported that she was unable to access the AMO application. The issue arose after a recent network change intended to enhance security protocols. Jane attempted to access the application multiple times from different devices, but encountered a 'proxy connection error' message. This outage hindered her ability to manage marketing campaigns, causing delays in project timelines.",Golden_Incident_Management,Anna Schmidt,Closed,,AMO,3 - Low,2 - Medium,3 - Moderate,Network,Connectivity,Hardware component replaced and system tested successfully,Anna Schmidt,"[2025-05-25 16:08:29] Anna Schmidt: User reported issue resolved after cache clear.

[2025-05-25 20:22:29] Anna Schmidt: Escalated to vendor for further analysis.

[2025-05-25 23:13:29] Anna Schmidt: User confirmed resolution and no further issues.

[2025-05-25 20:04:29] Anna Schmidt: User confirmed resolution and no further issues.

[2025-05-25 18:14:29] Anna Schmidt: User confirmed resolution and no further issues.","[2025-05-25 16:08:29] Anna Schmidt: User reported issue resolved after cache clear.

[2025-05-25 20:22:29] Anna Schmidt: Escalated to vendor for further analysis.

[2025-05-25 23:13:29] Anna Schmidt: User confirmed resolution and no further issues.

[2025-05-25 20:04:29] Anna Schmidt: User confirmed resolution and no further issues.

[2025-05-25 18:14:29] Anna Schmidt: User confirmed resolution and no further issues.",Jane Doe,2025-05-25T16:04:29.697718,2025-05-27T21:43:10.928174,2025-05-27T23:33:10.928174,Jane Doe,jane.doe@abstergoindustries.com,Closed/Cancelled,Medium,Configuration,"AMO, proxy, network configuration",Compliance,Procurement Specialist,Healthcare,Medium,Level 1,Administrative,0.8667463561433941,2025-05-30T16:04:29.697718,gpt-4o-mini
INC9890120,Database cluster downtime impacting application performance,"Jane Doe from the development team reported that several applications were experiencing significant performance degradation. Upon investigation, it was discovered that the database cluster was unresponsive, causing delays in data retrieval and impacting user experience across multiple applications. The downtime began at approximately 10:30 AM, leading to increased reports of issues from various teams.",Network Operations,Ahmed Ali,Closed,,Database Cluster,3 - Low,2 - Medium,3 - Moderate,Security,Compliance,No fault found after extensive diagnostics; monitoring ongoing,Ahmed Ali,"[2025-05-27 16:09:33] Ahmed Ali: Rebooted affected server and confirmed service restoration.

[2025-05-27 19:38:33] Ahmed Ali: Provided user with workaround pending permanent fix.

[2025-05-27 23:55:33] Ahmed Ali: User confirmed resolution and no further issues.","[2025-05-27 16:09:33] Ahmed Ali: Rebooted affected server and confirmed service restoration.

[2025-05-27 19:38:33] Ahmed Ali: Provided user with workaround pending permanent fix.

[2025-05-27 23:55:33] Ahmed Ali: User confirmed resolution and no further issues.",Jane Doe,2025-05-27T16:04:33.335417,2025-05-29T18:28:25.986438,2025-05-29T20:13:25.986438,Jane Doe,jane.doe@abstergoindustries.com,Closed/Resolved,Medium,Process,"database cluster, performance degradation, service restart",Marketing,Financial Analyst,Retail,Medium,Level 1,Business,0.8812879038079999,2025-05-30T16:04:33.335417,gpt-4o-mini
INC9864333,User unable to send emails due to Email Gateway failure,"John Smith from the design department reported that he was unable to send emails through the Email Gateway. This issue arose suddenly, preventing him from communicating with external partners, which is critical for ongoing project collaboration. The problem persisted for over an hour, causing delays in project timelines and impacting overall productivity.",Service Desk,Lisa Park,Closed,,Email Gateway,2 - Medium,2 - Medium,2 - High,Software,Applications,Hardware component replaced and system tested successfully,Lisa Park,"[2025-05-13 16:09:36] Lisa Park: Provided user with workaround pending permanent fix.

[2025-05-13 20:10:36] Lisa Park: Coordinated with network team for firewall rule update.

[2025-05-14 00:22:36] Lisa Park: Escalated to vendor for further analysis.

[2025-05-13 19:44:36] Lisa Park: Rebooted affected server and confirmed service restoration.

[2025-05-13 21:54:36] Lisa Park: User reported issue resolved after cache clear.

[2025-05-14 09:58:36] Lisa Park: User reported issue resolved after cache clear.

[2025-05-13 21:26:36] Lisa Park: User reported issue resolved after cache clear.","[2025-05-13 16:09:36] Lisa Park: Provided user with workaround pending permanent fix.

[2025-05-13 20:10:36] Lisa Park: Coordinated with network team for firewall rule update.

[2025-05-14 00:22:36] Lisa Park: Escalated to vendor for further analysis.

[2025-05-13 19:44:36] Lisa Park: Rebooted affected server and confirmed service restoration.

[2025-05-13 21:54:36] Lisa Park: User reported issue resolved after cache clear.

[2025-05-14 09:58:36] Lisa Park: User reported issue resolved after cache clear.

[2025-05-13 21:26:36] Lisa Park: User reported issue resolved after cache clear.",John Smith,2025-05-13T16:04:36.994619,2025-05-14T05:40:24.912180,2025-05-14T07:00:24.912180,John Smith,john.smith@abstergoindustries.com,Closed/Resolved,High,Configuration,"Email Gateway, email sending, service restart",Marketing,IT Support,Retail,Medium,Level 2,Support,0.8966578895199966,2025-05-30T16:04:36.994619,gpt-4o-mini
INC6514933,User experienced connectivity issues with VPN Appliance due to policy violation.,"Jane Doe, an employee in the marketing department, reported that she was unable to connect to the corporate VPN. The issue arose after she attempted to access the VPN from an unauthorized network while traveling. This connectivity problem prevented her from accessing critical marketing resources, thereby impacting her ability to complete time-sensitive projects.",Network Operations,Rachel Green,Closed,,VPN Appliance,3 - Low,2 - Medium,3 - Moderate,Security,Incidents,Root cause identified as misconfigured DNS entry,Rachel Green,"[2025-05-24 16:12:40] Rachel Green: Rebooted affected server and confirmed service restoration.

[2025-05-24 19:20:40] Rachel Green: Rebooted affected server and confirmed service restoration.

[2025-05-25 00:55:40] Rachel Green: Provided user with workaround pending permanent fix.

[2025-05-25 03:40:40] Rachel Green: Coordinated with network team for firewall rule update.

[2025-05-25 00:04:40] Rachel Green: User reported issue resolved after cache clear.

[2025-05-24 22:40:40] Rachel Green: Coordinated with network team for firewall rule update.","[2025-05-24 16:12:40] Rachel Green: Rebooted affected server and confirmed service restoration.

[2025-05-24 19:20:40] Rachel Green: Rebooted affected server and confirmed service restoration.

[2025-05-25 00:55:40] Rachel Green: Provided user with workaround pending permanent fix.

[2025-05-25 03:40:40] Rachel Green: Coordinated with network team for firewall rule update.

[2025-05-25 00:04:40] Rachel Green: User reported issue resolved after cache clear.

[2025-05-24 22:40:40] Rachel Green: Coordinated with network team for firewall rule update.",Jane Doe,2025-05-24T16:04:40.290790,2025-05-24T22:13:01.074810,2025-05-25T00:01:01.074810,Jane Doe,jane.doe@abstergoindustries.com,Closed/Resolved,Medium,Process,"VPN, policy violation, network access",Compliance,CTO,Healthcare,Medium,Level 1,Executive,0.9732483516017375,2025-05-30T16:04:40.290935,gpt-4o-mini
